%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5
1407778107950872109,163,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108049972081,164,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108150979339,165,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108250833329,166,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108350997453,167,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108450995269,168,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108550896075,169,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108649847519,170,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108750870263,171,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108850844289,172,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778108950823745,173,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109050983473,174,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109150858374,175,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109249884448,176,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109350989669,177,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
1407778109450875780,178,0,,jaco_joint_1,jaco_joint_2,jaco_joint_3,jaco_joint_4,jaco_joint_5,jaco_joint_6,-1.73996351503,-1.74348368136,0.700929085207,-0.819995289119,1.50751961929,3.13783280276
