%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407505792869697072,0.0,0.0,0.0,0.0,0.0,0.0
1407505792870712107,0.0,0.0,0.0,0.0,0.0,0.0
1407505792871709962,0.0,0.0,0.0,0.0,0.0,0.0
1407505792872709097,0.0,0.0,0.0,0.0,0.0,0.0
1407505792873708783,0.0,0.0,0.0,0.0,0.0,0.0
1407505792874707401,0.0,0.0,0.0,0.0,0.0,0.0
1407505792875714031,0.0,0.0,0.0,0.0,0.0,0.0
1407505792876717158,0.0,0.0,0.0,0.0,0.0,0.0
1407505792877711213,0.0,0.0,0.0,0.0,0.0,0.0
1407505792878723020,0.0,0.0,0.0,0.0,0.0,0.0
1407505792879695477,0.0,0.0,0.0,0.0,0.0,0.0
1407505792880724875,0.0,0.0,0.0,0.0,0.0,0.0
1407505792881703588,0.0,0.0,0.0,0.0,0.0,0.0
1407505792882696794,0.0,0.0,0.0,0.0,0.0,0.0
1407505792883702924,0.0,0.0,0.0,0.0,0.0,0.0
1407505792884658133,0.0,0.0,0.0,0.0,0.0,0.0
1407505792885718007,0.0,0.0,0.0,0.0,0.0,0.0
1407505792886706126,0.0,0.0,0.0,0.0,0.0,0.0
1407505792887679499,0.0,0.0,0.0,0.0,0.0,0.0
1407505792888706541,0.0,0.0,0.0,0.0,0.0,0.0
1407505792889692880,0.0,0.0,0.0,0.0,0.0,0.0
1407505792890825708,0.0,0.0,0.0,0.0,0.0,0.0
1407505792891816861,0.0,0.0,0.0,0.0,0.0,0.0
1407505792892798548,0.0,0.0,0.0,0.0,0.0,0.0
1407505792893787423,0.0,0.0,0.0,0.0,0.0,0.0
1407505792894803685,0.0,0.0,0.0,0.0,0.0,0.0
1407505792895791157,0.0,0.0,0.0,0.0,0.0,0.0
1407505792896805612,0.0,0.0,0.0,0.0,0.0,0.0
1407505792897812244,0.0,0.0,0.0,0.0,0.0,0.0
1407505792898802635,0.0,0.0,0.0,0.0,0.0,0.0
1407505792899830713,0.0,0.0,0.0,0.0,0.0,0.0
1407505792900784647,0.0,0.0,0.0,0.0,0.0,0.0
1407505792901788889,0.0,0.0,0.0,0.0,0.0,0.0
1407505792902802819,0.0,0.0,0.0,0.0,0.0,0.0
1407505792903800760,0.0,0.0,0.0,0.0,0.0,0.0
1407505792904791507,0.0,0.0,0.0,0.0,0.0,0.0
1407505792905771038,0.0,0.0,0.0,0.0,0.0,0.0
1407505792906760071,0.0,0.0,0.0,0.0,0.0,0.0
1407505792907789388,0.0,0.0,0.0,0.0,0.0,0.0
1407505792908736596,0.0,0.0,0.0,0.0,0.0,0.0
1407505792909747571,0.0,0.0,0.0,0.0,0.0,0.0
1407505792910908164,0.0,0.0,0.0,0.0,0.0,0.0
1407505792911779915,0.0,0.0,0.0,0.0,0.0,0.0
1407505792912800658,0.0,0.0,0.0,0.0,0.0,0.0
1407505792913737837,0.0,0.0,0.0,0.0,0.0,0.0
1407505792914787145,0.0,0.0,0.0,0.0,0.0,0.0
1407505792915803952,0.0,0.0,0.0,0.0,0.0,0.0
1407505792916777247,0.0,0.0,0.0,0.0,0.0,0.0
1407505792917771029,0.0,0.0,0.0,0.0,0.0,0.0
1407505792918762760,0.0,0.0,0.0,0.0,0.0,0.0
1407505792919752623,0.0,0.0,0.0,0.0,0.0,0.0
1407505792920751802,0.0,0.0,0.0,0.0,0.0,0.0
1407505792921777269,0.0,0.0,0.0,0.0,0.0,0.0
1407505792922782073,0.0,0.0,0.0,0.0,0.0,0.0
1407505792923788146,0.0,0.0,0.0,0.0,0.0,0.0
