%time.ns;field.joint5.degree;Field.velocity.degree/s
1407505771440970000;93.5126876831;0
1407505771453070000;93.5126876831;0
1407505771484260000;93.5126876831;0
1407505771511880000;93.5126876831;0
1407505771542890000;93.5126876831;0
1407505771572100000;93.5126876831;0
1407505771601890000;93.5126876831;0
1407505771631870000;93.5126876831;0
1407505771659820000;93.5126876831;0
1407505771688820000;93.5126876831;0
1407505771717860000;93.5126876831;0
1407505771747850000;93.5126876831;0
1407505771775830000;93.5126876831;0
1407505771804990000;93.5126876831;0
1407505771834990000;93.5126876831;0
1407505771864860000;93.5126876831;0
1407505771894960000;93.5126876831;0
1407505771921930000;93.5126876831;0
1407505771951890000;93.5126876831;0
1407505771982890000;93.5126876831;0
1407505772011810000;93.5126876831;0
1407505772040850000;93.5126876831;0
1407505772066860000;93.5126876831;0
1407505772097830000;93.5126876831;0
1407505772126940000;93.5126876831;0
1407505772157960000;93.5126876831;0
1407505772187930000;93.5126876831;0
1407505772217970000;93.5126876831;0
1407505772245870000;93.5126876831;0
1407505772272930000;93.5126876831;0
1407505772297840000;93.5126876831;0
1407505772323850000;93.5126876831;0
1407505772346820000;93.5126876831;0
1407505772376810000;93.5126876831;0
1407505772403820000;93.5126876831;0
1407505772434870000;93.5126876831;0
1407505772465050000;93.5126876831;0
1407505772495930000;93.5126876831;0
1407505772525890000;93.5126876831;0
1407505772555970000;93.5126876831;0
1407505772586880000;93.5126876831;0
1407505772615970000;93.5126876831;0
1407505772645840000;93.5126876831;0
1407505772675830000;93.5126876831;0
1407505772705860000;93.5126876831;0
1407505772736820000;93.5126876831;0
1407505772766900000;93.5126876831;0
1407505772796970000;93.5126876831;0
1407505772826940000;93.5126876831;0
1407505772855910000;93.5126876831;0
1407505772883880000;93.5126876831;0
1407505772911950000;93.5126876831;0
1407505772941840000;93.5126876831;0
1407505772970950000;93.5126876831;0
1407505773001910000;93.5126876831;0
1407505773031950000;93.5126876831;0
1407505773061020000;93.5126876831;0
1407505773085930000;93.5126876831;0
1407505773113930000;93.5126876831;0
1407505773138840000;93.5126876831;0
1407505773164830000;93.5126876831;0
1407505773175150000;93.5126876831;10
1407505773194860000;93.5126876831;10
1407505773224840000;93.5126876831;10
1407505773252830000;93.5126876831;10
1407505773282800000;93.5126876831;10
1407505773308860000;93.5126876831;10
1407505773338990000;93.662689209;10
1407505773367940000;93.662689209;10
1407505773398930000;93.662689209;10
1407505773427950000;93.662689209;10
1407505773458040000;93.662689209;10
1407505773487980000;93.662689209;10
1407505773516900000;93.662689209;10
1407505773543920000;93.662689209;10
1407505773571820000;93.662689209;10
1407505773601980000;93.662689209;10
1407505773631850000;93.662689209;10
1407505773660850000;93.8126907349;10
1407505773686940000;93.8126907349;10
1407505773713940000;93.8126907349;10
1407505773743960000;93.8126907349;10
1407505773770960000;93.8126907349;10
1407505773801920000;93.9626922607;10
1407505773829940000;93.9626922607;10
1407505773857960000;93.9626922607;10
1407505773885930000;94.1126937866;10
1407505773913840000;94.1126937866;10
1407505773942820000;94.1126937866;10
1407505773971820000;94.2626953125;10
1407505774001820000;94.2626953125;10
1407505774031960000;94.4126968384;10
1407505774061850000;94.4126968384;10
1407505774089970000;94.4126968384;10
1407505774120960000;94.5626983643;10
1407505774150270000;94.5626983643;10
1407505774177910000;94.5626983643;10
1407505774203820000;94.5626983643;10
1407505774230850000;94.7126998901;10
1407505774255830000;94.7126998901;10
1407505774281790000;94.7126998901;10
1407505774307780000;94.862701416;10
1407505774335800000;94.862701416;10
1407505774361930000;94.862701416;10
1407505774384960000;95.0127029419;10
1407505774406930000;95.0127029419;10
1407505774434880000;95.0127029419;10
1407505774462960000;95.1627044678;10
1407505774490900000;95.1627044678;10
1407505774514950000;95.1627044678;10
1407505774542850000;95.1627044678;10
1407505774565810000;95.3127059937;10
1407505774590800000;95.3127059937;10
1407505774614800000;95.4627075195;10
1407505774637790000;95.4627075195;10
1407505774665810000;95.4627075195;10
1407505774693930000;95.6127090454;10
1407505774725880000;95.6127090454;10
1407505774756960000;95.7627105713;10
1407505774785940000;95.7627105713;10
1407505774814860000;95.7627105713;10
1407505774841920000;95.9127120972;10
1407505774871860000;95.9127120972;10
1407505774901820000;95.9127120972;10
1407505774930780000;96.062713623;10
1407505774959830000;96.062713623;10
1407505774989810000;96.062713623;10
1407505775018960000;96.2127151489;10
1407505775046940000;96.2127151489;10
1407505775073970000;96.2127151489;10
1407505775099880000;96.3627166748;10
1407505775128840000;96.3627166748;10
1407505775157860000;96.3627166748;10
1407505775175170000;96.3627166748;5
1407505775185800000;96.3627166748;5
1407505775213850000;96.5127182007;5
1407505775241800000;96.5127182007;5
1407505775269810000;96.6627197266;5
1407505775297800000;96.6627197266;5
1407505775325830000;96.6627197266;5
1407505775353950000;96.8127212524;5
1407505775381910000;96.8127212524;5
1407505775411900000;96.8127212524;5
1407505775443970000;96.8127212524;5
1407505775471880000;96.9627227783;5
1407505775498930000;96.9627227783;5
1407505775527980000;96.9627227783;5
1407505775555930000;97.1127243042;5
1407505775582950000;97.1127243042;5
1407505775611930000;97.1127243042;5
1407505775641820000;97.2627258301;5
1407505775668890000;97.2627258301;5
1407505775696820000;97.2627258301;5
1407505775722850000;97.412727356;5
1407505775750800000;97.412727356;5
1407505775777810000;97.412727356;5
1407505775805770000;97.5627288818;5
1407505775835800000;97.5627288818;5
1407505775866960000;97.7127304077;5
1407505775895820000;97.7127304077;5
1407505775920890000;97.7127304077;5
1407505775946920000;97.7127304077;5
1407505775973950000;97.8627319336;5
1407505775997960000;97.8627319336;5
1407505776023830000;98.0127334595;5
1407505776053840000;98.0127334595;5
1407505776078800000;98.0127334595;5
1407505776103800000;98.1627349854;5
1407505776130810000;98.1627349854;5
1407505776156800000;98.1627349854;5
1407505776186010000;98.1627349854;5
1407505776212900000;98.3127365112;5
1407505776241920000;98.3127365112;5
1407505776269840000;98.3127365112;5
1407505776296940000;98.4627380371;5
1407505776322870000;98.4627380371;5
1407505776345940000;98.4627380371;5
1407505776371950000;98.612739563;5
1407505776398830000;98.612739563;5
1407505776423760000;98.612739563;5
1407505776449770000;98.612739563;5
1407505776477830000;98.7627410889;5
1407505776506800000;98.7627410889;5
1407505776532880000;98.9127426147;5
1407505776558910000;98.9127426147;5
1407505776585000000;98.9127426147;5
1407505776612960000;99.0627441406;5
1407505776638910000;99.0627441406;5
1407505776665910000;99.0627441406;5
1407505776693920000;99.2127456665;5
1407505776723830000;99.2127456665;5
1407505776751790000;99.3627471924;5
1407505776779780000;99.3627471924;5
1407505776804790000;99.3627471924;5
1407505776832760000;99.5127487183;5
1407505776860870000;99.5127487183;5
1407505776889840000;99.5127487183;5
1407505776919890000;99.6627502441;5
1407505776948920000;99.6627502441;5
1407505776979890000;99.6627502441;5
1407505777008860000;99.81275177;5
1407505777037780000;99.81275177;5
1407505777066770000;99.81275177;5
1407505777096810000;99.81275177;5
1407505777125780000;99.9627532959;5
1407505777152780000;99.9627532959;5
1407505777175860000;99.9627532959;0
1407505777183810000;100.112754822;0
1407505777212980000;100.112754822;0
1407505777242940000;100.112754822;0
1407505777273920000;100.112754822;0
1407505777303880000;100.112754822;0
1407505777332910000;100.262756348;0
1407505777361840000;100.262756348;0
1407505777389800000;100.262756348;0
1407505777418810000;100.262756348;0
1407505777446790000;100.262756348;0
1407505777475750000;100.262756348;0
1407505777503790000;100.262756348;0
1407505777533810000;100.262756348;0
1407505777561900000;100.262756348;0
1407505777590930000;100.262756348;0
1407505777620940000;100.262756348;0
1407505777649930000;100.262756348;0
1407505777675880000;100.262756348;0
1407505777701810000;100.262756348;0
1407505777727980000;100.262756348;0
