%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407505746709125163,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746721071965,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746734143723,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746746089590,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746759270417,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746772245499,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746785269653,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746798234341,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746809220989,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746822235989,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746834310130,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746846206718,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746859204023,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746873687913,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746885177463,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746897167925,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746910276343,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746924170003,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746935193194,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746946311530,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746959318215,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746972232053,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746985266488,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505746998228480,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747011234929,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747024243276,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747036202381,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747050469295,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747062278879,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747073223741,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747085305390,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747098299716,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747109074978,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747122182598,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747134286620,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747147121476,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747159087631,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747172141161,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747185160055,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747198089805,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747210070103,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747222084146,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747235090564,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747247140946,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747261226800,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747273239850,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747286222591,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747300182415,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747312253536,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747324325459,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747337322047,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747348247870,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747362208316,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747373363407,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747386335178,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747397176382,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747410245565,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747422204564,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
1407505747435069176,279.719512939,170.78894043,49.8187637329,226.823730469,93.5126876831,79.8486328125
