%time.ns;field.joint1.degree;Field.velocity.degree/s
1407504216037190000;349.932189941;0
1407504216048090000;349.932189941;0
1407504216075070000;349.932189941;0
1407504216103020000;349.932189941;0
1407504216132010000;349.932189941;0
1407504216161090000;349.932189941;0
1407504216191210000;349.932189941;0
1407504216219120000;349.932189941;0
1407504216249050000;349.932189941;0
1407504216276120000;349.932189941;0
1407504216303980000;349.932189941;0
1407504216332010000;349.932189941;0
1407504216360990000;349.932189941;0
1407504216389000000;349.932189941;0
1407504216420090000;349.932189941;0
1407504216449110000;349.932189941;0
1407504216479220000;349.932189941;0
1407504216509270000;349.932189941;0
1407504216539000000;349.932189941;0
1407504216565070000;349.932189941;0
1407504216593090000;349.932189941;0
1407504216624010000;349.932189941;0
1407504216652980000;349.932189941;0
1407504216681970000;349.932189941;0
1407504216711010000;349.932189941;0
1407504216741090000;349.932189941;0
1407504216771090000;349.932189941;0
1407504216802110000;349.932189941;0
1407504216833000000;349.932189941;0
1407504216860080000;349.932189941;0
1407504216887070000;349.932189941;0
1407504216918140000;349.932189941;0
1407504216946980000;349.932189941;0
1407504216977000000;349.932189941;0
1407504217005000000;349.932189941;0
1407504217031990000;349.932189941;0
1407504217061130000;349.932189941;0
1407504217092080000;349.932189941;0
1407504217122110000;349.932189941;0
1407504217153100000;349.932189941;0
1407504217178010000;349.932189941;0
1407504217206010000;349.932189941;0
1407504217237030000;349.932189941;0
1407504217266040000;349.932189941;0
1407504217295970000;349.932189941;0
1407504217326000000;349.932189941;0
1407504217351980000;349.932189941;0
1407504217380150000;349.932189941;0
1407504217410120000;349.932189941;0
1407504217441100000;349.932189941;0
1407504217472090000;349.932189941;0
1407504217503160000;349.932189941;0
1407504217532100000;349.932189941;0
1407504217561090000;349.932189941;0
1407504217591060000;349.932189941;0
1407504217622050000;349.932189941;0
1407504217652080000;349.932189941;0
1407504217683140000;349.932189941;0
1407504217712180000;349.932189941;0
1407504217739970000;349.932189941;0
1407504217760770000;349.932189941;10
1407504217766980000;349.932189941;10
1407504217798030000;349.932189941;10
1407504217825980000;349.932189941;10
1407504217856980000;349.932189941;10
1407504217887000000;349.932189941;10
1407504217918100000;349.932189941;10
1407504217945070000;349.932189941;10
1407504217977110000;350.032196045;10
1407504218008460000;350.032196045;10
1407504218037110000;350.132202148;10
1407504218067150000;350.132202148;10
1407504218093080000;350.232208252;10
1407504218121990000;350.332214355;10
1407504218147980000;350.332214355;10
1407504218176000000;350.432220459;10
1407504218200960000;350.432220459;10
1407504218230950000;350.532226562;10
1407504218262040000;350.532226562;10
1407504218292100000;350.632232666;10
1407504218320080000;350.632232666;10
1407504218349110000;350.73223877;10
1407504218376080000;350.73223877;10
1407504218407080000;350.832244873;10
1407504218435070000;350.832244873;10
1407504218463990000;350.932250977;10
1407504218489960000;350.932250977;10
1407504218514960000;351.03225708;10
1407504218542980000;351.03225708;10
1407504218569080000;351.132263184;10
1407504218599060000;351.132263184;10
1407504218629060000;351.132263184;10
1407504218660080000;351.232269287;10
1407504218689160000;351.232269287;10
1407504218715030000;351.332275391;10
1407504218742960000;351.332275391;10
1407504218773070000;351.432281494;10
1407504218803050000;351.432281494;10
1407504218829950000;351.532287598;10
1407504218859000000;351.532287598;10
1407504218887990000;351.632293701;10
1407504218916980000;351.632293701;10
1407504218947080000;351.732299805;10
1407504218977040000;351.732299805;10
1407504219005080000;351.832305908;10
1407504219035150000;351.832305908;10
1407504219065020000;351.932312012;10
1407504219092960000;351.932312012;10
1407504219122050000;352.032318115;10
1407504219149000000;352.032318115;10
1407504219178980000;352.132324219;10
1407504219208970000;352.132324219;10
1407504219237950000;352.232330322;10
1407504219268110000;352.332336426;10
1407504219299050000;352.332336426;10
1407504219328030000;352.432342529;10
1407504219358210000;352.432342529;10
1407504219385020000;352.532348633;10
1407504219411990000;352.532348633;10
1407504219441040000;352.632354736;10
1407504219468010000;352.632354736;10
1407504219492960000;352.73236084;10
1407504219520970000;352.73236084;10
1407504219549960000;352.73236084;10
1407504219575950000;352.832366943;10
1407504219605090000;352.832366943;10
1407504219636030000;352.932373047;10
1407504219664050000;352.932373047;10
1407504219693060000;353.03237915;10
1407504219722100000;353.03237915;10
