%time.ns;field.joint3.degree;field.velocity.degree/s
1407505596303640000;49.8405914307;0
1407505596316710000;49.8405914307;0
1407505596346680000;49.8405914307;0
1407505596375610000;49.8405914307;0
1407505596405640000;49.8405914307;0
1407505596434750000;49.8405914307;0
1407505596463690000;49.8405914307;0
1407505596494650000;49.8405914307;0
1407505596525630000;49.8405914307;0
1407505596555670000;49.8405914307;0
1407505596583590000;49.8405914307;0
1407505596611590000;49.8405914307;0
1407505596640560000;49.8405914307;0
1407505596669530000;49.8405914307;0
1407505596699520000;49.8405914307;0
1407505596729530000;49.8405914307;0
1407505596758630000;49.8405914307;0
1407505596788670000;49.8405914307;0
1407505596813580000;49.8405914307;0
1407505596838670000;49.8405914307;0
1407505596863630000;49.8405914307;0
1407505596888640000;49.8405914307;0
1407505596917690000;49.8405914307;0
1407505596948670000;49.8405914307;0
1407505596978550000;49.8405914307;0
1407505597004530000;49.8405914307;0
1407505597032560000;49.8405914307;0
1407505597061570000;49.8405914307;0
1407505597089600000;49.8405914307;0
1407505597119630000;49.8405914307;0
1407505597149640000;49.8405914307;0
1407505597178550000;49.8405914307;0
1407505597207570000;49.8405914307;0
1407505597235610000;49.8405914307;0
1407505597264680000;49.8405914307;0
1407505597295550000;49.8405914307;0
1407505597325540000;49.8405914307;0
1407505597355520000;49.8405914307;0
1407505597385590000;49.8405914307;0
1407505597416620000;49.8405914307;0
1407505597447610000;49.8405914307;0
1407505597478600000;49.8405914307;0
1407505597509550000;49.8405914307;0
1407505597541210000;49.8405914307;0
1407505597569630000;49.8405914307;0
1407505597598560000;49.8405914307;0
1407505597625520000;49.8405914307;0
1407505597650530000;49.8405914307;0
1407505597681520000;49.8405914307;0
1407505597707530000;49.8405914307;0
1407505597736630000;49.8405914307;0
1407505597767600000;49.8405914307;0
1407505597796640000;49.8405914307;0
1407505597828050000;49.8405914307;0
1407505597858560000;49.8405914307;0
1407505597884610000;49.8405914307;0
1407505597906520000;49.8405914307;0
1407505597935630000;49.8405914307;0
1407505597965620000;49.8405914307;0
1407505597995590000;49.8405914307;0
1407505598013000000;49.8405914307;10
1407505598025620000;49.8405914307;10
1407505598051560000;49.8405914307;10
1407505598080540000;49.8405914307;10
1407505598110620000;49.8405914307;10
1407505598141600000;49.8405914307;10
1407505598172610000;49.8405914307;10
1407505598202530000;49.8405914307;10
1407505598233730000;49.8405914307;10
1407505598259550000;49.8405914307;10
1407505598288670000;49.8405914307;10
1407505598317630000;49.8405914307;10
1407505598345660000;49.8405914307;10
1407505598374630000;49.8405914307;10
1407505598402680000;49.9405899048;10
1407505598433710000;49.9405899048;10
1407505598463510000;49.9405899048;10
1407505598492590000;49.9405899048;10
1407505598520760000;49.9405899048;10
1407505598549520000;50.0405883789;10
1407505598578570000;50.140586853;10
1407505598607520000;50.140586853;10
1407505598636520000;50.2405853271;10
1407505598664520000;50.2405853271;10
1407505598694640000;50.2405853271;10
1407505598724600000;50.3405838013;10
1407505598753620000;50.4405822754;10
1407505598782600000;50.4405822754;10
1407505598811550000;50.5405807495;10
1407505598838700000;50.5405807495;10
1407505598864620000;50.5405807495;10
1407505598892620000;50.5405807495;10
1407505598916490000;50.6405792236;10
1407505598938490000;50.7405776978;10
1407505598963510000;50.7405776978;10
1407505598992550000;50.8405761719;10
1407505599021500000;50.8405761719;10
1407505599050590000;50.940574646;10
1407505599081650000;51.0405731201;10
1407505599111700000;51.0405731201;10
1407505599140600000;51.0405731201;10
1407505599168620000;51.1405715942;10
1407505599195570000;51.1405715942;10
1407505599222680000;51.2405700684;10
1407505599251530000;51.2405700684;10
1407505599279510000;51.3405685425;10
1407505599307530000;51.3405685425;10
1407505599335530000;51.4405670166;10
1407505599363530000;51.4405670166;10
1407505599394570000;51.4405670166;10
1407505599425590000;51.5405654907;10
1407505599455580000;51.6405639648;10
1407505599483510000;51.6405639648;10
1407505599513580000;51.6405639648;10
1407505599540620000;51.740562439;10
1407505599567540000;51.740562439;10
1407505599597540000;51.8405609131;10
1407505599628540000;51.9405593872;10
1407505599658510000;51.9405593872;10
1407505599688570000;52.0405578613;10
1407505599717600000;52.0405578613;10
1407505599746690000;52.1405563354;10
1407505599768610000;52.1405563354;10
1407505599797620000;52.2405548096;10
1407505599825490000;52.2405548096;10
1407505599851590000;52.3405532837;10
1407505599879490000;52.3405532837;10
1407505599905540000;52.3405532837;10
1407505599934480000;52.4405517578;10
1407505599962480000;52.5405502319;10
1407505599991500000;52.5405502319;10
1407505600013970000;52.5405502319;5
1407505600021680000;52.6405487061;5
1407505600052580000;52.6405487061;5
1407505600082610000;52.7405471802;5
1407505600112560000;52.7405471802;5
1407505600142550000;52.8405456543;5
1407505600172580000;52.8405456543;5
1407505600202530000;52.9405441284;5
1407505600230510000;52.9405441284;5
1407505600259520000;52.9405441284;5
1407505600287490000;53.0405426025;5
1407505600315640000;53.1405410767;5
1407505600344640000;53.1405410767;5
1407505600370640000;53.2405395508;5
1407505600400580000;53.2405395508;5
1407505600430510000;53.2405395508;5
1407505600461600000;53.3405380249;5
1407505600490510000;53.3405380249;5
1407505600517580000;53.440536499;5
1407505600547520000;53.5405349731;5
1407505600578500000;53.5405349731;5
1407505600608540000;53.6405334473;5
1407505600636500000;53.6405334473;5
1407505600666570000;53.7405319214;5
1407505600696600000;53.7405319214;5
1407505600726560000;53.8405303955;5
1407505600757570000;53.8405303955;5
1407505600787630000;53.9405288696;5
1407505600815630000;53.9405288696;5
1407505600846600000;54.0405273438;5
1407505600877480000;54.0405273438;5
1407505600906490000;54.1405258179;5
1407505600935500000;54.1405258179;5
1407505600965500000;54.240524292;5
1407505600994610000;54.240524292;5
1407505601023580000;54.3405227661;5
1407505601049600000;54.3405227661;5
1407505601080590000;54.4405212402;5
1407505601111610000;54.4405212402;5
1407505601138520000;54.5405197144;5
1407505601165610000;54.5405197144;5
1407505601191620000;54.6405181885;5
1407505601219620000;54.6405181885;5
1407505601246580000;54.7405166626;5
1407505601270640000;54.7405166626;5
1407505601295550000;54.7405166626;5
1407505601322670000;54.8405151367;5
1407505601349590000;54.9405136108;5
1407505601374580000;54.9405136108;5
1407505601405480000;55.040512085;5
1407505601434470000;55.040512085;5
1407505601464480000;55.040512085;5
1407505601493500000;55.1405105591;5
1407505601520580000;55.1405105591;5
