%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407505771440227688,0.0,0.0,0.0,0.0,0.0,0.0
1407505771441272342,0.0,0.0,0.0,0.0,0.0,0.0
1407505771442281562,0.0,0.0,0.0,0.0,0.0,0.0
1407505771443328269,0.0,0.0,0.0,0.0,0.0,0.0
1407505771444233190,0.0,0.0,0.0,0.0,0.0,0.0
1407505771445320870,0.0,0.0,0.0,0.0,0.0,0.0
1407505771446256228,0.0,0.0,0.0,0.0,0.0,0.0
1407505771447249360,0.0,0.0,0.0,0.0,0.0,0.0
1407505771448333317,0.0,0.0,0.0,0.0,0.0,0.0
1407505771449311519,0.0,0.0,0.0,0.0,0.0,0.0
1407505771450306433,0.0,0.0,0.0,0.0,0.0,0.0
1407505771451237316,0.0,0.0,0.0,0.0,0.0,0.0
1407505771452344296,0.0,0.0,0.0,0.0,0.0,0.0
1407505771453234489,0.0,0.0,0.0,0.0,0.0,0.0
1407505771454256032,0.0,0.0,0.0,0.0,0.0,0.0
1407505771455181218,0.0,0.0,0.0,0.0,0.0,0.0
1407505771456184826,0.0,0.0,0.0,0.0,0.0,0.0
1407505771457252771,0.0,0.0,0.0,0.0,0.0,0.0
1407505771458213115,0.0,0.0,0.0,0.0,0.0,0.0
1407505771459242956,0.0,0.0,0.0,0.0,0.0,0.0
1407505771460244195,0.0,0.0,0.0,0.0,0.0,0.0
1407505771461277865,0.0,0.0,0.0,0.0,0.0,0.0
1407505771462218278,0.0,0.0,0.0,0.0,0.0,0.0
1407505771463198713,0.0,0.0,0.0,0.0,0.0,0.0
1407505771464229063,0.0,0.0,0.0,0.0,0.0,0.0
1407505771465399828,0.0,0.0,0.0,0.0,0.0,0.0
1407505771466249128,0.0,0.0,0.0,0.0,0.0,0.0
1407505771467246050,0.0,0.0,0.0,0.0,0.0,0.0
1407505771468185450,0.0,0.0,0.0,0.0,0.0,0.0
1407505771469350063,0.0,0.0,0.0,0.0,0.0,0.0
1407505771470226076,0.0,0.0,0.0,0.0,0.0,0.0
1407505771471353624,0.0,0.0,0.0,0.0,0.0,0.0
1407505771472225831,0.0,0.0,0.0,0.0,0.0,0.0
1407505771473335985,0.0,0.0,0.0,0.0,0.0,0.0
1407505771474224387,0.0,0.0,0.0,0.0,0.0,0.0
1407505771475318905,0.0,0.0,0.0,0.0,0.0,0.0
1407505771476266027,0.0,0.0,0.0,0.0,0.0,0.0
1407505771477241688,0.0,0.0,0.0,0.0,0.0,0.0
1407505771478193999,0.0,0.0,0.0,0.0,0.0,0.0
1407505771479162289,0.0,0.0,0.0,0.0,0.0,0.0
1407505771480173523,0.0,0.0,0.0,0.0,0.0,0.0
1407505771481134742,0.0,0.0,0.0,0.0,0.0,0.0
1407505771482170332,0.0,0.0,0.0,0.0,0.0,0.0
1407505771483185092,0.0,0.0,0.0,0.0,0.0,0.0
1407505771484270655,0.0,0.0,0.0,0.0,0.0,0.0
1407505771485193889,0.0,0.0,0.0,0.0,0.0,0.0
1407505771486248572,0.0,0.0,0.0,0.0,0.0,0.0
1407505771487171153,0.0,0.0,0.0,0.0,0.0,0.0
1407505771488138790,0.0,0.0,0.0,0.0,0.0,0.0
1407505771489158848,0.0,0.0,0.0,0.0,0.0,0.0
1407505771490152550,0.0,0.0,0.0,0.0,0.0,0.0
1407505771491208427,0.0,0.0,0.0,0.0,0.0,0.0
1407505771492174952,0.0,0.0,0.0,0.0,0.0,0.0
1407505771493167340,0.0,0.0,0.0,0.0,0.0,0.0
1407505771494235806,0.0,0.0,0.0,0.0,0.0,0.0
1407505771495211163,0.0,0.0,0.0,0.0,0.0,0.0
1407505771496243990,0.0,0.0,0.0,0.0,0.0,0.0
1407505771497185033,0.0,0.0,0.0,0.0,0.0,0.0
1407505771498200539,0.0,0.0,0.0,0.0,0.0,0.0
1407505771499211114,0.0,0.0,0.0,0.0,0.0,0.0
1407505771500240855,0.0,0.0,0.0,0.0,0.0,0.0
1407505771501262658,0.0,0.0,0.0,0.0,0.0,0.0
1407505771502205300,0.0,0.0,0.0,0.0,0.0,0.0
1407505771503154746,0.0,0.0,0.0,0.0,0.0,0.0
1407505771504158531,0.0,0.0,0.0,0.0,0.0,0.0
1407505771505166920,0.0,0.0,0.0,0.0,0.0,0.0
1407505771506196847,0.0,0.0,0.0,0.0,0.0,0.0
1407505771507146623,0.0,0.0,0.0,0.0,0.0,0.0
1407505771508125954,0.0,0.0,0.0,0.0,0.0,0.0
1407505771509246615,0.0,0.0,0.0,0.0,0.0,0.0
1407505771510223859,0.0,0.0,0.0,0.0,0.0,0.0
1407505771511209839,0.0,0.0,0.0,0.0,0.0,0.0
1407505771512222357,0.0,0.0,0.0,0.0,0.0,0.0
1407505771513228855,0.0,0.0,0.0,0.0,0.0,0.0
1407505771514197797,0.0,0.0,0.0,0.0,0.0,0.0
1407505771515197098,0.0,0.0,0.0,0.0,0.0,0.0
1407505771516221404,0.0,0.0,0.0,0.0,0.0,0.0
1407505771517186480,0.0,0.0,0.0,0.0,0.0,0.0
1407505771518134725,0.0,0.0,0.0,0.0,0.0,0.0
1407505771519184456,0.0,0.0,0.0,0.0,0.0,0.0
1407505771520242209,0.0,0.0,0.0,0.0,0.0,0.0
1407505771521134354,0.0,0.0,0.0,0.0,0.0,0.0
1407505771522237433,0.0,0.0,0.0,0.0,0.0,0.0
1407505771523296732,0.0,0.0,0.0,0.0,0.0,0.0
1407505771524213028,0.0,0.0,0.0,0.0,0.0,0.0
1407505771525203526,0.0,0.0,0.0,0.0,0.0,0.0
1407505771526210679,0.0,0.0,0.0,0.0,0.0,0.0
1407505771527202375,0.0,0.0,0.0,0.0,0.0,0.0
1407505771528196607,0.0,0.0,0.0,0.0,0.0,0.0
1407505771529200675,0.0,0.0,0.0,0.0,0.0,0.0
1407505771530274874,0.0,0.0,0.0,0.0,0.0,0.0
1407505771531161267,0.0,0.0,0.0,0.0,0.0,0.0
1407505771532253498,0.0,0.0,0.0,0.0,0.0,0.0
1407505771533203448,0.0,0.0,0.0,0.0,0.0,0.0
1407505771534214582,0.0,0.0,0.0,0.0,0.0,0.0
1407505771535156471,0.0,0.0,0.0,0.0,0.0,0.0
1407505771536200730,0.0,0.0,0.0,0.0,0.0,0.0
1407505771537196929,0.0,0.0,0.0,0.0,0.0,0.0
1407505771538163923,0.0,0.0,0.0,0.0,0.0,0.0
1407505771539147343,0.0,0.0,0.0,0.0,0.0,0.0
1407505771540180273,0.0,0.0,0.0,0.0,0.0,0.0
1407505771541167228,0.0,0.0,0.0,0.0,0.0,0.0
