%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407759972416656600,0.0,0.0,0.0,0.0,0.0,0.0
1407759972417660828,0.0,0.0,0.0,0.0,0.0,0.0
1407759972418688467,0.0,0.0,0.0,0.0,0.0,0.0
1407759972419689230,0.0,0.0,0.0,0.0,0.0,0.0
1407759972420612445,0.0,0.0,0.0,0.0,0.0,0.0
1407759972421624593,0.0,0.0,0.0,0.0,0.0,0.0
1407759972422569785,0.0,0.0,0.0,0.0,0.0,0.0
1407759972423558107,0.0,0.0,0.0,0.0,0.0,0.0
1407759972424606874,0.0,0.0,0.0,0.0,0.0,0.0
1407759972425626761,0.0,0.0,0.0,0.0,0.0,0.0
1407759972426611069,0.0,0.0,0.0,0.0,0.0,0.0
1407759972427596392,0.0,0.0,0.0,0.0,0.0,0.0
1407759972428594888,0.0,0.0,0.0,0.0,0.0,0.0
1407759972429557228,0.0,0.0,0.0,0.0,0.0,0.0
1407759972430527453,0.0,0.0,0.0,0.0,0.0,0.0
1407759972431523356,0.0,0.0,0.0,0.0,0.0,0.0
1407759972432549345,0.0,0.0,0.0,0.0,0.0,0.0
1407759972433544927,0.0,0.0,0.0,0.0,0.0,0.0
1407759972434527194,0.0,0.0,0.0,0.0,0.0,0.0
1407759972435958511,0.0,0.0,0.0,0.0,0.0,0.0
1407759972436542040,0.0,0.0,0.0,0.0,0.0,0.0
1407759972437525926,0.0,0.0,0.0,0.0,0.0,0.0
1407759972438533286,0.0,0.0,0.0,0.0,0.0,0.0
1407759972439522465,0.0,0.0,0.0,0.0,0.0,0.0
1407759972440567514,0.0,0.0,0.0,0.0,0.0,0.0
1407759972441564993,0.0,0.0,0.0,0.0,0.0,0.0
1407759972442537898,0.0,0.0,0.0,0.0,0.0,0.0
1407759972443553038,0.0,0.0,0.0,0.0,0.0,0.0
1407759972444539002,0.0,0.0,0.0,0.0,0.0,0.0
1407759972445554063,0.0,0.0,0.0,0.0,0.0,0.0
1407759972446556070,0.0,0.0,0.0,0.0,0.0,0.0
1407759972447547296,0.0,0.0,0.0,0.0,0.0,0.0
1407759972448530079,0.0,0.0,0.0,0.0,0.0,0.0
1407759972449544782,0.0,0.0,0.0,0.0,0.0,0.0
1407759972450546404,0.0,0.0,0.0,0.0,0.0,0.0
1407759972451532972,0.0,0.0,0.0,0.0,0.0,0.0
1407759972452536500,0.0,0.0,0.0,0.0,0.0,0.0
1407759972453546358,0.0,0.0,0.0,0.0,0.0,0.0
1407759972454560797,0.0,0.0,0.0,0.0,0.0,0.0
1407759972455546566,0.0,0.0,0.0,0.0,0.0,0.0
1407759972456501075,0.0,0.0,0.0,0.0,0.0,0.0
1407759972457547481,0.0,0.0,0.0,0.0,0.0,0.0
1407759972458561120,0.0,0.0,0.0,0.0,0.0,0.0
1407759972459545346,0.0,0.0,0.0,0.0,0.0,0.0
1407759972460543697,0.0,0.0,0.0,0.0,0.0,0.0
1407759972461527167,0.0,0.0,0.0,0.0,0.0,0.0
1407759972462528518,0.0,0.0,0.0,0.0,0.0,0.0
1407759972463532060,0.0,0.0,0.0,0.0,0.0,0.0
1407759972464560902,0.0,0.0,0.0,0.0,0.0,0.0
1407759972465553442,0.0,0.0,0.0,0.0,0.0,0.0
1407759972466563952,0.0,0.0,0.0,0.0,0.0,0.0
1407759972467586775,0.0,0.0,0.0,0.0,0.0,0.0
1407759972468620665,0.0,0.0,0.0,0.0,0.0,0.0
1407759972469621028,0.0,0.0,0.0,0.0,0.0,0.0
1407759972470534852,0.0,0.0,0.0,0.0,0.0,0.0
1407759972471547795,0.0,0.0,0.0,0.0,0.0,0.0
1407759972472589153,0.0,0.0,0.0,0.0,0.0,0.0
1407759972473540544,0.0,0.0,0.0,0.0,0.0,0.0
1407759972474522498,0.0,0.0,0.0,0.0,0.0,0.0
1407759972475547433,0.0,0.0,0.0,0.0,0.0,0.0
1407759972476524973,0.0,0.0,0.0,0.0,0.0,0.0
1407759972477524771,0.0,0.0,0.0,0.0,0.0,0.0
1407759972478524339,0.0,0.0,0.0,0.0,0.0,0.0
1407759972479521556,0.0,0.0,0.0,0.0,0.0,0.0
1407759972480538841,0.0,0.0,0.0,0.0,0.0,0.0
1407759972481554364,0.0,0.0,0.0,0.0,0.0,0.0
1407759972482576181,0.0,0.0,0.0,0.0,0.0,0.0
1407759972483565903,0.0,0.0,0.0,0.0,0.0,0.0
1407759972484574895,0.0,0.0,0.0,0.0,0.0,0.0
1407759972485547843,0.0,0.0,0.0,0.0,0.0,0.0
1407759972486532309,0.0,0.0,0.0,0.0,0.0,0.0
1407759972487532669,0.0,0.0,0.0,0.0,0.0,0.0
1407759972488563719,0.0,0.0,0.0,0.0,0.0,0.0
1407759972489552580,0.0,0.0,0.0,0.0,0.0,0.0
1407759972490549739,0.0,0.0,0.0,0.0,0.0,0.0
1407759972491543335,0.0,0.0,0.0,0.0,0.0,0.0
1407759972492548236,0.0,0.0,0.0,0.0,0.0,0.0
1407759972493542333,0.0,0.0,0.0,0.0,0.0,0.0
1407759972494531125,0.0,0.0,0.0,0.0,0.0,0.0
1407759972495523276,0.0,0.0,0.0,0.0,0.0,0.0
1407759972496535948,0.0,0.0,0.0,0.0,0.0,0.0
1407759972497552752,0.0,0.0,0.0,0.0,0.0,0.0
1407759972498556870,0.0,0.0,0.0,0.0,0.0,0.0
1407759972499551413,0.0,0.0,0.0,0.0,0.0,0.0
1407759972500545968,0.0,0.0,0.0,0.0,0.0,0.0
1407759972501537881,0.0,0.0,0.0,0.0,0.0,0.0
1407759972502540719,0.0,0.0,0.0,0.0,0.0,0.0
1407759972503535740,0.0,0.0,0.0,0.0,0.0,0.0
1407759972504554613,0.0,0.0,0.0,0.0,0.0,0.0
1407759972505526124,0.0,0.0,0.0,0.0,0.0,0.0
1407759972506506994,0.0,0.0,0.0,0.0,0.0,0.0
1407759972507523808,0.0,0.0,0.0,0.0,0.0,0.0
